Designator,MidX,MidY,Rotation,Layer
C1,176,-72.2,0,top
C2,176,-73.6,0,top
C3,173.5,-77.2,180,top
C4,175.937258,-75,0,top
C5,175.937258,-77.1,0,top
C6,173.8,-75.6,90,top
C7,165.262742,-85.4,0,top
C8,176.062742,-82.8,0,top
C9,176.062742,-81.8,0,top
C10,170.737258,-77.2,180,top
C11,107.8,-89.4,90,top
C12,107.8,-92.4,90,top
C13,139.2,-88.6,-135,top
C14,148.8,-83,-45,top
C15,148,-81.6,45,top
C16,147,-87.8,-45,top
C17,142,-89.6,-45,top
C18,144,-78.6,45,top
C19,140,-89.4,-135,top
C20,136.8,-85.8,-135,top
C21,143.6,-89.8,-45,top
C22,136.8,-79.8,135,top
C23,147.8,-87,-45,top
C24,157.662742,-85.4,135,top
C25,142.251142,-75.743223,180,top
C26,139.871142,-75.743223,0,top
C27,174.262742,-83.8,-90,top
C28,175.937258,-76.1,0,top
C29,165.262742,-83.4,180,top
D1,101.055,-89.92,180,top
D5,170.137258,-80,90,top
D6,172.462742,-84.8,90,top
D7,172.9,-80,-90,top
J2,93.71,-93,-90,top
L2,168.662742,-84.8,0,top
Q3,174.462742,-89.4,180,top
R1,145.6,-88.6,135,top
R2,144,-88.6,135,top
R3,99.785,-91.72,0,top
R4,99.8,-95.02,0,top
R5,150,-93.8,-45,top
R6,139.23,-77.93,-135,top
R7,137,-78.4,135,top
R10,176.3,-85.7,180,top
R11,176.062742,-83.8,180,top
SW1,124.8,-101.2,0,top
SW2,134,-101.2,0,top
U1,181.262742,-78.6,90,top
U2,141.131371,-83,-135,top
U3,113.2,-91,0,top
U4,153.462742,-89.4,-135,top
Y1,141.06,-73.51,0,top